index,y_max,y_pred_max
347,86000,80582
348,86000,101080
349,86000,86092
350,86000,85377
351,86000,85618
352,86000,78411
353,86000,101463
354,86000,87694
355,86000,90516
356,86000,87490
357,86000,93465
358,86000,85532
359,86000,81605
360,86000,69630
361,86000,78101
362,86000,85479
363,86000,93909
364,86000,89191
365,86000,85390
366,86000,86444
367,86000,87260
368,86000,87679
369,87000,89731
370,87000,86916
371,87000,89636
372,87000,69962
373,87000,76193
374,87000,88259
375,87000,88628
376,87000,83892
377,87000,74321
378,87000,84994
379,87000,86956
380,87000,79172
381,87000,99051
382,87000,86924
383,87000,87597
384,87000,86372
385,87000,86951
386,87000,87694
387,87000,88099
388,87000,86922
389,87000,89213
390,87000,89230
391,87000,87070
392,88000,92124
393,88000,84678
394,88000,102608
395,88000,88307
396,88000,86317
397,88000,90177
398,88000,87949
399,88000,89007
400,88000,89159
401,88000,87991
402,88000,89867
403,89000,83919
404,89000,88896
405,89000,88046
406,89000,90657
407,89000,89147
408,89000,90771
409,89000,84819
410,89000,89438
411,89000,84819
412,89000,88318
413,89000,85730
414,89000,90834
415,89000,88959
416,89000,89363
417,89000,96230
418,89000,91804
419,89000,88898
420,89000,105075
421,89000,97585
422,89000,90786
423,90000,98658
424,90000,88255
425,90000,83892
426,90000,87239
427,90000,89534
428,90000,89714
429,90000,90834
430,90000,100089
431,90000,92109
432,90000,88838
433,90000,83705
434,91000,90130
435,91000,93904
436,91000,87597
437,91000,77902
438,91000,93645
439,91000,84842
440,91000,98388
441,91000,91963
442,91000,96650
443,91000,94689
444,92000,90834
445,92000,93086
446,92000,88705
447,92000,83464
448,92000,92716
449,92000,95737
450,92000,88315
451,92000,92873
452,92000,92042
453,92000,95246
454,92000,91947
455,92000,97475
456,92000,91947
457,92000,84756
458,92000,91916
459,92000,92015
460,92000,82762
461,92000,105226
462,92000,94867
463,92000,91875
464,93000,89023
465,93000,93279
466,93000,90177
467,93000,93090
468,93000,92687
469,93000,92634
470,93000,99968
471,93000,93257
472,93000,93144
473,93000,95955
474,93000,92602
475,93000,84922
476,93000,92354
477,94000,83209
478,94000,77097
479,94000,90877
480,94000,93891
481,94000,91804
482,94000,81605
483,94000,94542
484,94000,73475
485,94000,91502
486,94000,80186
487,94000,93060
488,94000,93878
489,94000,95805
490,94000,92726
491,94000,98913
492,95000,88293
493,95000,79937
494,95000,95492
495,95000,92775
496,95000,93852
497,95000,86916
498,95000,89507
499,95000,79867
500,95000,93273
501,95000,89726
502,95000,95847
503,95000,98388
504,95000,94014
505,95000,78895
506,95000,79954
507,95000,82170
508,95000,94224
509,95000,96730
510,96000,95094
511,96000,91784
512,96000,86259
513,96000,95890
514,96000,105270
515,96000,84850
516,96000,97370
517,96000,90177
518,96000,68370
519,96000,88293
520,96000,95540
521,97000,95929
522,97000,86051
523,97000,96620
524,97000,88293
525,97000,88293
526,97000,98666
527,97000,96622
528,97000,93768
529,97000,96633
530,97000,90441
531,97000,93273
532,97000,97095
533,97000,91552
534,97000,97432
535,97000,98327
536,97000,98791
537,97000,133252
538,97000,83892
539,97000,95668
540,97000,95879
541,97000,98116
542,97000,94806
543,97000,96264
544,97000,91182
545,97000,93793
546,97000,93909
547,97000,91526
548,98000,80171
549,98000,81677
550,98000,89731
551,98000,97814
552,98000,98059
553,98000,98165
554,98000,96999
555,98000,65634
556,98000,93798
557,98000,98156
558,98000,88960
559,98000,98171
560,98000,97807
561,99000,98728
562,99000,91881
563,99000,98882
564,99000,96441
565,99000,90834
566,99000,102117
567,99000,89507
568,99000,91921
569,99000,98873
570,99000,93904
571,99000,99276
572,99000,98674
573,100000,80171
574,100000,75623
575,100000,94982
576,100000,66314
577,100000,113923
578,100000,106302
579,100000,93273
580,100000,99713
581,100000,70229
582,100000,97585
583,100000,97475
584,101000,101140
585,101000,82972
586,101000,101517
587,101000,60865
588,101000,98451
589,101000,100732
590,101000,101706
591,101000,96807
592,101000,83892
593,101000,85624
594,101000,101581
595,102000,85624
596,102000,85641
597,102000,95540
598,102000,92724
599,103000,103191
600,103000,89313
601,103000,101344
602,103000,103296
603,103000,78614
604,103000,108814
605,104000,103991
606,104000,102112
607,104000,93273
608,104000,93273
609,105000,104359
610,105000,141733
611,105000,82654
612,105000,105044
613,105000,104346
614,105000,101831
615,105000,93878
616,105000,79824
617,105000,104361
618,105000,104923
619,105000,113920
620,106000,85624
621,106000,106619
622,106000,105855
623,106000,102116
624,106000,108242
625,106000,84922
626,106000,101220
627,106000,86092
628,106000,104567
629,106000,105832
630,106000,101463
631,107000,106888
632,107000,89871
633,107000,103190
634,107000,102216
635,107000,109494
636,107000,106981
637,107000,95194
638,107000,91524
639,108000,93273
640,108000,79990
641,108000,103383
642,108000,108156
643,108000,99956
